% Model:              new_trap_efield_far.mph
% Version:            COMSOL 5.0.0.243
% Date:               Dec 2 2019, 12:55
% Dimension:          3
% Nodes:              1001
% Expressions:        1
% Description:        Electric field, z component
% Length unit:        m
% x                       y                        z                        es.Ez (V/m)
-8.673617379884035E-19    6.938893903907228E-18    -0.012987012987013288    -0.12597745094508386
-8.673617379884035E-19    6.938893903907228E-18    -0.012961038961039261    -0.12610536719425258
-8.673617379884035E-19    6.938893903907228E-18    -0.012935064935065235    -0.12615206704792767
-8.673617379884035E-19    6.938893903907228E-18    -0.012909090909091208    -0.12626942649651962
-8.673617379884035E-19    6.938893903907228E-18    -0.012883116883117182    -0.12638678594511346
-8.673617379884035E-19    6.938893903907228E-18    -0.012857142857143157    -0.1265041453937082
-8.673617379884035E-19    6.938893903907228E-18    -0.01283116883116913     -0.12662150484230045
-8.673617379884035E-19    6.938893903907228E-18    -0.012805194805195104    -0.1267388642908941
-8.673617379884035E-19    6.938893903907228E-18    -0.012779220779221077    -0.12685622373948816
-8.673617379884035E-19    6.938893903907228E-18    -0.012753246753247051    -0.12697358318808122
-8.673617379884035E-19    6.938893903907228E-18    -0.012727272727273024    -0.12709094263667525
-8.673617379884035E-19    6.938893903907228E-18    -0.012701298701298998    -0.12720830208526496
-8.673617379884035E-19    6.938893903907228E-18    -0.012675324675324971    -0.12734928058801287
-8.673617379884035E-19    6.938893903907228E-18    -0.012649350649350945    -0.12749138291647133
-8.673617379884035E-19    6.938893903907228E-18    -0.01262337662337692     -0.12785535779291418
-8.673617379884035E-19    6.938893903907228E-18    -0.012597402597402893    -0.1281601220224334
-8.673617379884035E-19    6.938893903907228E-18    -0.012571428571428865    -0.12846488625195263
-8.673617379884035E-19    6.938893903907228E-18    -0.01254545454545484     -0.12876965048147193
-8.673617379884035E-19    6.938893903907228E-18    -0.012519480519480814    -0.12907441471099107
-8.673617379884035E-19    6.938893903907228E-18    -0.012493506493506787    -0.1293791789405103
-8.673617379884035E-19    6.938893903907228E-18    -0.01246753246753276     -0.1296839431700296
-8.673617379884035E-19    6.938893903907228E-18    -0.012441558441558734    -0.13001386100686874
-8.673617379884035E-19    6.938893903907228E-18    -0.012415584415584708    -0.13042946997913424
-8.673617379884035E-19    6.938893903907228E-18    -0.012389610389610681    -0.1308450789513995
-8.673617379884035E-19    6.938893903907228E-18    -0.012363636363636656    -0.13126068792366485
-8.673617379884035E-19    6.938893903907228E-18    -0.01233766233766263     -0.13167629689593024
-8.673617379884035E-19    6.938893903907228E-18    -0.012311688311688601    -0.13209190586819564
-8.673617379884035E-19    6.938893903907228E-18    -0.012285714285714577    -0.1323978673201326
-8.673617379884035E-19    6.938893903907228E-18    -0.01225974025974055     -0.1329457032160215
-8.673617379884035E-19    6.938893903907228E-18    -0.012233766233766522    -0.13349353911191075
-8.673617379884035E-19    6.938893903907228E-18    -0.012207792207792495    -0.1340413750077997
-8.673617379884035E-19    6.938893903907228E-18    -0.01218181818181847     -0.1345892109036887
-8.673617379884035E-19    6.938893903907228E-18    -0.012155844155844446    -0.1351370467995776
-8.673617379884035E-19    6.938893903907228E-18    -0.012129870129870417    -0.13585315537169573
-8.673617379884035E-19    6.938893903907228E-18    -0.012103896103896393    -0.13643914154923611
