% Model:              new_trap_efield_far.mph
% Version:            COMSOL 5.0.0.243
% Date:               Dec 2 2019, 13:40
% Dimension:          3
% Nodes:              1001
% Expressions:        1
% Description:        Electric field, y component
% Length unit:        m
% x                       y                        z                        es.Ey (V/m)
-8.673617379884035E-19    -0.01298701298701306     -1.0408340855860843E-16  -0.13016775656253304
-8.673617379884035E-19    -0.012961038961039034    -1.0408340855860843E-16  -0.13031996567471243
-8.673617379884035E-19    -0.01293506493506501     -1.0408340855860843E-16  -0.1304721747868957
-8.673617379884035E-19    -0.012909090909090981    -1.0408340855860843E-16  -0.13062438389907557
-8.673617379884035E-19    -0.012883116883116955    -1.0408340855860843E-16  -0.13077659301125652
-8.673617379884035E-19    -0.012857142857142932    -1.0408340855860843E-16  -0.13095781042937335
-8.673617379884035E-19    -0.012831168831168905    -1.0408340855860843E-16  -0.1310800938417249
-8.673617379884035E-19    -0.012805194805194878    -1.0408340855860843E-16  -0.13110526291611088
-8.673617379884035E-19    -0.012779220779220852    -1.0408340855860843E-16  -0.13122118430153326
-8.673617379884035E-19    -0.012753246753246825    -1.0408340855860843E-16  -0.13133710568695553
-8.673617379884035E-19    -0.012727272727272799    -1.0408340855860843E-16  -0.13145302707237794
-8.673617379884035E-19    -0.012701298701298772    -1.0408340855860843E-16  -0.1315689484578002
-8.673617379884035E-19    -0.012675324675324747    -1.0408340855860843E-16  -0.13168486984322256
-8.673617379884035E-19    -0.012649350649350721    -1.0408340855860843E-16  -0.13180079122864485
-8.673617379884035E-19    -0.012623376623376696    -1.0408340855860843E-16  -0.13195010589011824
-8.673617379884035E-19    -0.01259740259740267     -1.0408340855860843E-16  -0.13235025599264058
-8.673617379884035E-19    -0.012571428571428643    -1.0408340855860843E-16  -0.1327504060951631
-8.673617379884035E-19    -0.012545454545454617    -1.0408340855860843E-16  -0.13315055619768557
-8.673617379884035E-19    -0.01251948051948059     -1.0408340855860843E-16  -0.13355070630020782
-8.673617379884035E-19    -0.012493506493506565    -1.0408340855860843E-16  -0.13395085640273016
-8.673617379884035E-19    -0.012467532467532537    -1.0408340855860843E-16  -0.134293906922109
-8.673617379884035E-19    -0.012441558441558512    -1.0408340855860843E-16  -0.1346464973110106
-8.673617379884035E-19    -0.012415584415584487    -1.0408340855860843E-16  -0.13499908769991228
-8.673617379884035E-19    -0.01238961038961046     -1.0408340855860843E-16  -0.13535167808881385
-8.673617379884035E-19    -0.012363636363636434    -1.0408340855860843E-16  -0.1357042684777154
-8.673617379884035E-19    -0.012337662337662408    -1.0408340855860843E-16  -0.13605685886661695
-8.673617379884035E-19    -0.012311688311688381    -1.0408340855860843E-16  -0.13637669759940912
-8.673617379884035E-19    -0.012285714285714355    -1.0408340855860843E-16  -0.1371182509948441
-8.673617379884035E-19    -0.01225974025974033     -1.0408340855860843E-16  -0.1376994778991466
-8.673617379884035E-19    -0.012233766233766302    -1.0408340855860843E-16  -0.13828070480344912
-8.673617379884035E-19    -0.012207792207792275    -1.0408340855860843E-16  -0.13886193170775135
-8.673617379884035E-19    -0.012181818181818252    -1.0408340855860843E-16  -0.13944315861205384
-8.673617379884035E-19    -0.012155844155844225    -1.0408340855860843E-16  -0.1400243855163561
-8.673617379884035E-19    -0.012129870129870199    -1.0408340855860843E-16  -0.14048662217703234
