% Model:              new_trap_efield_far.mph
% Version:            COMSOL 5.0.0.243
% Date:               Dec 2 2019, 13:07
% Dimension:          3
% Nodes:              1001
% Expressions:        1
% Description:        Electric field, z component
% Length unit:        m
% x                       y                        z                        es.Ez (V/m)
-8.673617379884035E-19    6.938893903907228E-18    -0.012987012987013288    2.0541500804824864
-8.673617379884035E-19    6.938893903907228E-18    -0.012961038961039261    2.0562288089652156
-8.673617379884035E-19    6.938893903907228E-18    -0.012935064935065235    2.0569876044423836
-8.673617379884035E-19    6.938893903907228E-18    -0.012909090909091208    2.058894817467717
-8.673617379884035E-19    6.938893903907228E-18    -0.012883116883117182    2.0608020304923684
-8.673617379884035E-19    6.938893903907228E-18    -0.012857142857143157    2.0627092435156555
-8.673617379884035E-19    6.938893903907228E-18    -0.01283116883116913     2.064616456541387
-8.673617379884035E-19    6.938893903907228E-18    -0.012805194805195104    2.0665236695653846
-8.673617379884035E-19    6.938893903907228E-18    -0.012779220779221077    2.0684308825892685
-8.673617379884035E-19    6.938893903907228E-18    -0.012753246753247051    2.0703380956148294
-8.673617379884035E-19    6.938893903907228E-18    -0.012727272727273024    2.072245308638685
-8.673617379884035E-19    6.938893903907228E-18    -0.012701298701298998    2.0741525216640184
-8.673617379884035E-19    6.938893903907228E-18    -0.012675324675324971    2.0764433090744205
-8.673617379884035E-19    6.938893903907228E-18    -0.012649350649350945    2.078752778649914
-8.673617379884035E-19    6.938893903907228E-18    -0.01262337662337692     2.084668553217057
-8.673617379884035E-19    6.938893903907228E-18    -0.012597402597402893    2.0896206910854858
-8.673617379884035E-19    6.938893903907228E-18    -0.012571428571428865    2.094572828955336
-8.673617379884035E-19    6.938893903907228E-18    -0.01254545454545484     2.099524966822031
-8.673617379884035E-19    6.938893903907228E-18    -0.012519480519480814    2.1044771046886694
-8.673617379884035E-19    6.938893903907228E-18    -0.012493506493506787    2.109429242557553
-8.673617379884035E-19    6.938893903907228E-18    -0.01246753246753276     2.114381380423879
-8.673617379884035E-19    6.938893903907228E-18    -0.012441558441558734    2.1197405597171155
-8.673617379884035E-19    6.938893903907228E-18    -0.012415584415584708    2.1264931531961793
-8.673617379884035E-19    6.938893903907228E-18    -0.012389610389610681    2.1332457466758115
-8.673617379884035E-19    6.938893903907228E-18    -0.012363636363636656    2.1399983401562963
-8.673617379884035E-19    6.938893903907228E-18    -0.01233766233766263     2.1467509336356443
-8.673617379884035E-19    6.938893903907228E-18    -0.012311688311688601    2.1535035271178913
-8.673617379884035E-19    6.938893903907228E-18    -0.012285714285714577    2.1584735980859477
-8.673617379884035E-19    6.938893903907228E-18    -0.01225974025974055     2.1673728375644714
-8.673617379884035E-19    6.938893903907228E-18    -0.012233766233766522    2.176272077043791
-8.673617379884035E-19    6.938893903907228E-18    -0.012207792207792495    2.1851713165196998
-8.673617379884035E-19    6.938893903907228E-18    -0.01218181818181847     2.1940705559982234
-8.673617379884035E-19    6.938893903907228E-18    -0.012155844155844446    2.2029697954776566
-8.673617379884035E-19    6.938893903907228E-18    -0.012129870129870417    2.2145990387296024
-8.673617379884035E-19    6.938893903907228E-18    -0.012103896103896393    2.2241173525267186
-8.673617379884035E-19    6.938893903907228E-18    -0.012077922077922366    2.2339602777797154
-8.673617379884035E-19    6.938893903907228E-18    -0.012051948051948338    2.2383562817844904
-8.673617379884035E-19    6.938893903907228E-18    -0.012025974025974313    2.250661186507841
-8.673617379884035E-19    6.938893903907228E-18    -0.012000000000000286    2.262966091230439
-8.673617379884035E-19    6.938893903907228E-18    -0.011974025974026258    2.2752709959554522
-8.673617379884035E-19    6.938893903907228E-18    -0.011948051948052232    2.2872512475073563
-8.673617379884035E-19    6.938893903907228E-18    -0.011922077922078209    2.299010718171303
-8.673617379884035E-19    6.938893903907228E-18    -0.011896103896104182    2.3107701888369547
-8.673617379884035E-19    6.938893903907228E-18    -0.011870129870130154    2.3225296595019245
-8.673617379884035E-19    6.938893903907228E-18    -0.011844155844156129    2.330615152120572
-8.673617379884035E-19    6.938893903907228E-18    -0.011818181818182102    2.355660913080328
-8.673617379884035E-19    6.938893903907228E-18    -0.011792207792208074    2.359951631677177
-8.673617379884035E-19    6.938893903907228E-18    -0.011766233766234048    2.3755854835940227
-8.673617379884035E-19    6.938893903907228E-18    -0.011740259740260023    2.391219335515302
-8.673617379884035E-19    6.938893903907228E-18    -0.011714285714285995    2.4068531874355585
-8.673617379884035E-19    6.938893903907228E-18    -0.01168831168831197     2.4220428610101408
-8.673617379884035E-19    6.938893903907228E-18    -0.011662337662337945    2.437176466091614
-8.673617379884035E-19    6.938893903907228E-18    -0.011636363636363917    2.4523100711737698
-8.673617379884035E-19    6.938893903907228E-18    -0.01161038961038989     2.467443676255698
-8.673617379884035E-19    6.938893903907228E-18    -0.011584415584415864    2.4823272950716273
-8.673617379884035E-19    6.938893903907228E-18    -0.011558441558441839    2.497187656488677
-8.673617379884035E-19    6.938893903907228E-18    -0.01153246753246781     2.5120480179111837
-8.673617379884035E-19    6.938893903907228E-18    -0.011506493506493784    2.5299967871951594
-8.673617379884035E-19    6.938893903907228E-18    -0.01148051948051976     2.5516896275149925
-8.673617379884035E-19    6.938893903907228E-18    -0.011454545454545731    2.5718275633547023
-8.673617379884035E-19    6.938893903907228E-18    -0.011428571428571706    2.5919654991942593
-8.673617379884035E-19    6.938893903907228E-18    -0.011402597402597681    2.612103435033646
-8.673617379884035E-19    6.938893903907228E-18    -0.011376623376623653    2.632241370872748
