% Model:              new_trap_efield_far.mph
% Version:            COMSOL 5.0.0.243
% Date:               Dec 2 2019, 13:24
% Dimension:          3
% Nodes:              1001
% Expressions:        1
% Description:        Electric field, x component
% Length unit:        m
% x                       y                        z                        es.Ex (V/m)
-0.012987012987013082     6.938893903907228E-18    -1.0408340855860843E-16  -0.12604812664821308
-0.012961038961039055     6.938893903907228E-18    -1.0408340855860843E-16  -0.12591278988062427
-0.012935064935065028     6.938893903907228E-18    -1.0408340855860843E-16  -0.12605988040186483
-0.012909090909091002     6.938893903907228E-18    -1.0408340855860843E-16  -0.12620697092310504
-0.012883116883116975     6.938893903907228E-18    -1.0408340855860843E-16  -0.12635406144434405
-0.012857142857142952     6.938893903907228E-18    -1.0408340855860843E-16  -0.12650115196558576
-0.012831168831168926     6.938893903907228E-18    -1.0408340855860843E-16  -0.12664824248682788
-0.0128051948051949       6.938893903907228E-18    -1.0408340855860843E-16  -0.12679533300806478
-0.012779220779220873     6.938893903907228E-18    -1.0408340855860843E-16  -0.12694242352930796
-0.012753246753246846     6.938893903907228E-18    -1.0408340855860843E-16  -0.12708951405054675
-0.01272727272727282      6.938893903907228E-18    -1.0408340855860843E-16  -0.12723660457178734
-0.012701298701298793     6.938893903907228E-18    -1.0408340855860843E-16  -0.12731183284841394
-0.012675324675324768     6.938893903907228E-18    -1.0408340855860843E-16  -0.12744352903107334
-0.01264935064935074      6.938893903907228E-18    -1.0408340855860843E-16  -0.12757522521373268
-0.012623376623376715     6.938893903907228E-18    -1.0408340855860843E-16  -0.12770692139639206
-0.01259740259740269      6.938893903907228E-18    -1.0408340855860843E-16  -0.12783861757905146
-0.012571428571428662     6.938893903907228E-18    -1.0408340855860843E-16  -0.12847877236559951
-0.012545454545454637     6.938893903907228E-18    -1.0408340855860843E-16  -0.12882171934873085
-0.01251948051948061      6.938893903907228E-18    -1.0408340855860843E-16  -0.12914850084646665
-0.012493506493506584     6.938893903907228E-18    -1.0408340855860843E-16  -0.12947528234420258
-0.012467532467532558     6.938893903907228E-18    -1.0408340855860843E-16  -0.12956749238634263
-0.012441558441558531     6.938893903907228E-18    -1.0408340855860843E-16  -0.1299930006394124
-0.012415584415584506     6.938893903907228E-18    -1.0408340855860843E-16  -0.13041850889248213
-0.01238961038961048      6.938893903907228E-18    -1.0408340855860843E-16  -0.13084401714555177
-0.012363636363636455     6.938893903907228E-18    -1.0408340855860843E-16  -0.13126952539862144
-0.012337662337662429     6.938893903907228E-18    -1.0408340855860843E-16  -0.1316950336516912
