% Model:              3D_chameleons_fullgeom.mph
% Version:            COMSOL 5.0.0.243
% Date:               Mar 22 2016, 14:39
% Dimension:          1
% Nodes:              202
% Expressions:        1
% Description:        Gradient of u, x component
% cln1x                   ux (1/m)
0                         1.4910870041371644E7
3.768684588971796E-5      1.3778243071673214E7
4.097103966899454E-5      1.367854688307207E7
7.124700306376103E-5      1.2773658259499729E7
7.705375463461922E-5      1.2640961818796009E7
7.76056637095679E-5       1.2625164168592244E7
1.0053920022827859E-4     1.196872272868587E7
1.6477779197700618E-4     1.0129979993534695E7
1.659855077347852E-4      1.0107503495089918E7
1.6627413613325842E-4     1.009929982152243E7
2.2606103529910007E-4     8377069.705465212
2.399479497038129E-4      7988240.080849946
2.552447222758866E-4      7580230.289619923
2.742295924035819E-4      7046717.657755494
3.2758387714777043E-4     5552098.235817611
3.553120464898363E-4      4775345.991229713
3.654311991618253E-4      4491877.059172444
4.107091735290509E-4      3223500.2043473125
4.650704987742976E-4      1570994.6000107378
4.773491295131868E-4      1159388.5908946842
5.422336778275784E-4      -1015680.4825971499
5.575794673748739E-4      -1609769.343667388
6.026429490770986E-4      -3043236.8002352715
6.410453979566258E-4      -4514547.185781181
6.606563518256579E-4      -5226277.0283463895
7.204206796360239E-4      -7351528.335402153
7.482329912813085E-4      -8526228.34121114
7.780754156444039E-4      -1.0112470983039036E7
8.013503148434666E-4      -1.1349623740623266E7
8.16946939154916E-4       -1.2178645882068098E7
8.204537892391173E-4      -1.2365048805449009E7
8.289181306149647E-4      -1.3052295229806095E7
8.702074952430146E-4      -1.506266027037778E7
8.877050571163038E-4      -1.6207746743471973E7
9.160926961049969E-4      -1.8540695230416656E7
9.327981258105585E-4      -1.969426450080532E7
9.352385700002117E-4      -1.9397953295066416E7
9.429347088663401E-4      -2.004874196214944E7
9.778141946229224E-4      -2.2998165619767427E7
9.926034726285698E-4      -2.4203122600222766E7
0.001007602525227868      -2.5443981358127832E7
0.001012731224827642      -2.6117602200492322E7
0.0010235780048223168     -2.7222212180835098E7
0.001026048402923585      -2.7473791580382645E7
0.0010789503788349065     -3.286120153985395E7
0.001097326022900972      -3.525461817665365E7
0.0010987335755372266     -3.550122170022088E7
0.0011180993354001217     -3.889410697906342E7
0.0011352129602544142     -4.189241772167516E7
0.0011483476048418408     -4.419361026867604E7
0.001179719637472737      -4.848588247365984E7
0.001184356321709882      -5.161444167585522E7
0.0011946354982833897     -5.295304428660709E7
0.0012148663846328553     -5.8615942924236745E7
0.0012183914319124738     -5.947963674524164E7
0.0012261041409454346     -6.143887096473634E7
0.001230190055489605      -6.10282868127819E7
0.0012390070585731397     -6.40300809964228E7
0.0012475366534363194     -6.693402556880492E7
0.0012615967544286587     -7.15677342459462E7
0.0012749667005050834     -7.598733244989318E7
0.0012989488543854004     -8.391492494804975E7
0.0013015970062201822     -8.708935582143961E7
0.001310468756887534      -9.201894429020011E7
0.00132932181091883       -1.0220163755784619E8
0.001333216547398687      -1.042769938135035E8
0.0013437267105637293     -1.0987745818005475E8
0.0013483885892183224     -1.1236159518879992E8
0.001348645324983959      -1.1249839986865948E8
0.00136403923649199       -1.2257267587684917E8
0.0013689779149804564     -1.2796195618898576E8
0.001375979395249055      -1.3560224697841328E8
0.001380328407524594      -1.4035557503774452E8
0.0013834477392193206     -1.436045825208584E8
0.0013879897083995223     -1.48335368887533E8
0.0013900985827497228     -1.5093795422326243E8
0.0014054712283681457     -1.662462580381177E8
0.0014087373494906137     -1.72004094578627E8
0.0014094207767141528     -1.730769506917373E8
0.001411358173425848      -1.749726719470873E8
0.0014200135385149908     -1.9121484600010896E8
0.0014203424922349071     -1.9183214215333247E8
0.0014220362007453906     -1.950104608191576E8
0.00142525759031285       -2.0105554031706285E8
0.0014290034914367748     -2.0808488886719227E8
0.0014309140998704263     -2.1159100447954756E8
0.0014320775542962898     -2.1597389566653144E8
0.0014324274395790398     -2.1657520898867083E8
0.0014355597366982852     -2.2195837907201385E8
0.0014376974371137115     -2.2818143868830478E8
0.0014426120325008278     -2.4124851915753555E8
0.0014435256954453898     -2.4365451995995784E8
0.001449430752681214      -2.592046443600943E8
0.0014498048904046587     -2.6018988259065032E8
0.001451104862336669      -2.636131729081123E8
0.001451274822712522      -2.6391119086392438E8
0.001452376128096785      -2.688397688726189E8
0.0014523897697873642     -2.68906722376678E8
0.0014524099473897968     -2.6900575417765E8
0.0014528998407768098     -2.7145767845579183E8
0.001457584862944429      -2.943869624169512E8
0.0014576569270092488     -2.947396560321641E8
0.0014630458866414578     -3.211141279644804E8
0.001463837047018874      -3.244570821805985E8
0.001464080693346817      -3.252755542206626E8
0.0014641889594280942     -3.3331011646672654E8
0.00146435946862156       -3.2882026575146127E8
0.0014652477544652293     -3.347920745074011E8
0.001466613388133274      -3.4005194264484787E8
0.0014682832724831132     -3.5238885411979425E8
0.0014690701447597591     -3.5720346225220263E8
0.0014706474389779081     -3.668543977283754E8
0.001472022118354295      -3.752656007932708E8
0.001472544953580266      -3.7792047524580383E8
0.001473242715314873      -3.856795842963538E8
0.001475242614288684      -4.0791845676278365E8
0.0014766693443524388     -4.226949880925931E8
0.0014767302131953527     -4.2326384072630537E8
0.0014767677328455762     -4.236144823817681E8
0.001478582464753523      -4.448388741910858E8
0.001480403486096838      -4.6042303834864366E8
0.0014807973846534574     -4.631404421895466E8
0.001481124172425765      -4.6701736025891495E8
0.0014813166218966556     -4.734278226908641E8
0.0014821054173225386     -4.86753268842067E8
0.001482613843376803      -4.953423196728133E8
0.0014833644834688665     -5.080231920479636E8
